"Provider","Operation","Count","AvgMs","MinMs","MaxMs","SuccessRate"
"api","create_appointment","10","226.4","2","2223","0"
"api","list_appointments","10","3.9","2","7","100"
"api","suggestions","10","21","7","38","100"
"caldav","create","10","217","1","2159","0"
"caldav","list","10","1.3","0","4","0"
"google","create","10","221.2","1","2200","0"
"google","list","10","1.1","1","2","0"
"ics","create","10","217.4","1","2163","0"
"ics","list","10","1","0","2","0"
